2024-04-24 22:08:15,886 INFO ExperimentB, n_estimators=10, Accuracy=0.8, Precision=0.84, Recall=0.5675675675675675, F1_score=0.6774193548387097
2024-04-24 22:08:20,032 INFO ExperimentB, n_estimators=11, Accuracy=0.83, Precision=0.8125, Recall=0.7027027027027027, F1_score=0.7536231884057971
2024-04-24 22:08:23,854 INFO ExperimentB, n_estimators=12, Accuracy=0.8, Precision=0.8148148148148148, Recall=0.5945945945945946, F1_score=0.6875
2024-04-24 22:08:27,241 INFO ExperimentB, n_estimators=13, Accuracy=0.82, Precision=0.8275862068965517, Recall=0.6486486486486487, F1_score=0.7272727272727273
2024-04-24 22:08:30,683 INFO ExperimentB, n_estimators=14, Accuracy=0.84, Precision=0.8888888888888888, Recall=0.6486486486486487, F1_score=0.75
2024-04-24 22:08:34,393 INFO ExperimentB, n_estimators=15, Accuracy=0.83, Precision=0.8571428571428571, Recall=0.6486486486486487, F1_score=0.7384615384615384
2024-04-24 22:08:37,727 INFO ExperimentB, n_estimators=16, Accuracy=0.82, Precision=0.9130434782608695, Recall=0.5675675675675675, F1_score=0.6999999999999998
2024-04-24 22:08:41,004 INFO ExperimentB, n_estimators=17, Accuracy=0.78, Precision=0.7586206896551724, Recall=0.5945945945945946, F1_score=0.6666666666666667
2024-04-24 22:08:44,408 INFO ExperimentB, n_estimators=18, Accuracy=0.8, Precision=0.84, Recall=0.5675675675675675, F1_score=0.6774193548387097
2024-04-24 22:08:48,024 INFO ExperimentB, n_estimators=19, Accuracy=0.81, Precision=0.8, Recall=0.6486486486486487, F1_score=0.7164179104477612
2024-04-24 22:08:51,816 INFO ExperimentB, n_estimators=20, Accuracy=0.8, Precision=0.84, Recall=0.5675675675675675, F1_score=0.6774193548387097
2024-04-24 22:08:55,345 INFO ExperimentB, n_estimators=21, Accuracy=0.8, Precision=0.7931034482758621, Recall=0.6216216216216216, F1_score=0.696969696969697
2024-04-24 22:08:59,175 INFO ExperimentB, n_estimators=22, Accuracy=0.8, Precision=0.84, Recall=0.5675675675675675, F1_score=0.6774193548387097
2024-04-24 22:09:02,479 INFO ExperimentB, n_estimators=23, Accuracy=0.81, Precision=0.78125, Recall=0.6756756756756757, F1_score=0.7246376811594203
