2024-04-24 23:29:24,492 INFO ExperimentA, k=3, Accuracy=0.7711442786069652, Precision=0.6811594202898551, Recall=0.6619718309859155, F1_score=0.6714285714285715
2024-04-24 23:29:28,090 INFO ExperimentA, k=5, Accuracy=0.746268656716418, Precision=0.6666666666666666, Recall=0.5633802816901409, F1_score=0.6106870229007634
2024-04-24 23:29:31,710 INFO ExperimentA, k=7, Accuracy=0.736318407960199, Precision=0.6666666666666666, Recall=0.5070422535211268, F1_score=0.576
2024-04-24 23:29:35,361 INFO ExperimentA, k=9, Accuracy=0.7512437810945274, Precision=0.6842105263157895, Recall=0.5492957746478874, F1_score=0.6093750000000001
2024-04-24 23:29:38,980 INFO ExperimentA, k=11, Accuracy=0.7512437810945274, Precision=0.6909090909090909, Recall=0.5352112676056338, F1_score=0.6031746031746031
2024-04-24 23:29:42,559 INFO ExperimentA, k=13, Accuracy=0.7661691542288557, Precision=0.7307692307692307, Recall=0.5352112676056338, F1_score=0.6178861788617886
2024-04-24 23:29:46,123 INFO ExperimentA, k=15, Accuracy=0.7910447761194029, Precision=0.7735849056603774, Recall=0.5774647887323944, F1_score=0.6612903225806451
2024-04-24 23:29:49,788 INFO ExperimentA, k=17, Accuracy=0.7860696517412935, Precision=0.7692307692307693, Recall=0.5633802816901409, F1_score=0.6504065040650407
2024-04-24 23:29:53,666 INFO ExperimentA, k=19, Accuracy=0.7860696517412935, Precision=0.7692307692307693, Recall=0.5633802816901409, F1_score=0.6504065040650407
2024-04-24 23:29:57,208 INFO ExperimentA, k=21, Accuracy=0.7960199004975125, Precision=0.8, Recall=0.5633802816901409, F1_score=0.6611570247933886
2024-04-24 23:30:02,595 INFO ExperimentA, k=23, Accuracy=0.7910447761194029, Precision=0.7843137254901961, Recall=0.5633802816901409, F1_score=0.6557377049180328
2024-04-24 23:30:06,737 INFO ExperimentA, k=25, Accuracy=0.7761194029850746, Precision=0.76, Recall=0.5352112676056338, F1_score=0.628099173553719
2024-04-24 23:30:10,707 INFO ExperimentA, k=27, Accuracy=0.7910447761194029, Precision=0.7843137254901961, Recall=0.5633802816901409, F1_score=0.6557377049180328
2024-04-24 23:30:14,535 INFO ExperimentA, k=29, Accuracy=0.7860696517412935, Precision=0.7916666666666666, Recall=0.5352112676056338, F1_score=0.6386554621848739
2024-04-24 23:30:18,924 INFO ExperimentA, k=31, Accuracy=0.7711442786069652, Precision=0.7777777777777778, Recall=0.49295774647887325, F1_score=0.603448275862069
2024-04-24 23:30:25,318 INFO ExperimentA, k=33, Accuracy=0.7761194029850746, Precision=0.7954545454545454, Recall=0.49295774647887325, F1_score=0.6086956521739131
2024-04-24 23:30:29,811 INFO ExperimentA, k=35, Accuracy=0.7860696517412935, Precision=0.8333333333333334, Recall=0.49295774647887325, F1_score=0.6194690265486726
2024-04-24 23:30:33,758 INFO ExperimentA, k=37, Accuracy=0.7761194029850746, Precision=0.8095238095238095, Recall=0.4788732394366197, F1_score=0.6017699115044247
2024-04-24 23:30:37,527 INFO ExperimentA, k=39, Accuracy=0.7960199004975125, Precision=0.8260869565217391, Recall=0.5352112676056338, F1_score=0.6495726495726496
2024-04-24 23:30:41,154 INFO ExperimentA, k=41, Accuracy=0.7910447761194029, Precision=0.8222222222222222, Recall=0.5211267605633803, F1_score=0.6379310344827586
2024-04-24 23:30:44,713 INFO ExperimentA, k=43, Accuracy=0.7761194029850746, Precision=0.7954545454545454, Recall=0.49295774647887325, F1_score=0.6086956521739131
2024-04-24 23:30:48,743 INFO ExperimentA, k=45, Accuracy=0.7860696517412935, Precision=0.8181818181818182, Recall=0.5070422535211268, F1_score=0.6260869565217392
2024-04-24 23:30:52,854 INFO ExperimentA, k=47, Accuracy=0.7761194029850746, Precision=0.8095238095238095, Recall=0.4788732394366197, F1_score=0.6017699115044247
2024-04-24 23:30:56,853 INFO ExperimentA, k=49, Accuracy=0.7661691542288557, Precision=0.8, Recall=0.4507042253521127, F1_score=0.5765765765765766
2024-04-24 23:31:01,617 INFO ExperimentA, k=51, Accuracy=0.7711442786069652, Precision=0.8378378378378378, Recall=0.43661971830985913, F1_score=0.574074074074074
2024-04-24 23:31:06,277 INFO ExperimentA, k=53, Accuracy=0.7711442786069652, Precision=0.8378378378378378, Recall=0.43661971830985913, F1_score=0.574074074074074
2024-04-24 23:31:10,075 INFO ExperimentA, k=55, Accuracy=0.7810945273631841, Precision=0.8648648648648649, Recall=0.4507042253521127, F1_score=0.5925925925925926
2024-04-24 23:31:13,982 INFO ExperimentA, k=57, Accuracy=0.7611940298507462, Precision=0.8484848484848485, Recall=0.39436619718309857, F1_score=0.5384615384615384
2024-04-24 23:31:18,289 INFO ExperimentA, k=59, Accuracy=0.7661691542288557, Precision=0.9, Recall=0.38028169014084506, F1_score=0.5346534653465346
2024-04-24 23:31:18,737 INFO Average Accuracy: 0.7750900669068449, Average Precision: 0.7837691851863885, Average Recall: 0.5123846527440507, Average F1: 0.6151004541004984
2024-04-24 23:31:18,737 INFO Max accuracy: 0.7960199004975125, Max precision: 0.8, Max recall: 0.5633802816901409, Max f1: 0.6611570247933886, when k=21
