2024-04-24 23:43:49,290 INFO ExperimentA, k=3, Accuracy=0.7562189054726368, Precision=0.6774193548387096, Recall=0.5915492957746479, F1_score=0.631578947368421
2024-04-24 23:43:52,665 INFO ExperimentA, k=5, Accuracy=0.736318407960199, Precision=0.65, Recall=0.5492957746478874, F1_score=0.5954198473282443
2024-04-24 23:43:56,042 INFO ExperimentA, k=7, Accuracy=0.7512437810945274, Precision=0.7058823529411765, Recall=0.5070422535211268, F1_score=0.5901639344262296
2024-04-24 23:43:59,437 INFO ExperimentA, k=9, Accuracy=0.736318407960199, Precision=0.68, Recall=0.4788732394366197, F1_score=0.5619834710743802
2024-04-24 23:44:02,823 INFO ExperimentA, k=11, Accuracy=0.7611940298507462, Precision=0.7346938775510204, Recall=0.5070422535211268, F1_score=0.6
2024-04-24 23:44:06,298 INFO ExperimentA, k=13, Accuracy=0.7611940298507462, Precision=0.7254901960784313, Recall=0.5211267605633803, F1_score=0.6065573770491803
2024-04-24 23:44:09,682 INFO ExperimentA, k=15, Accuracy=0.7711442786069652, Precision=0.7358490566037735, Recall=0.5492957746478874, F1_score=0.6290322580645161
2024-04-24 23:44:13,325 INFO ExperimentA, k=17, Accuracy=0.7711442786069652, Precision=0.7358490566037735, Recall=0.5492957746478874, F1_score=0.6290322580645161
2024-04-24 23:44:16,675 INFO ExperimentA, k=19, Accuracy=0.7910447761194029, Precision=0.7843137254901961, Recall=0.5633802816901409, F1_score=0.6557377049180328
2024-04-24 23:44:20,532 INFO ExperimentA, k=21, Accuracy=0.7661691542288557, Precision=0.74, Recall=0.5211267605633803, F1_score=0.6115702479338843
2024-04-24 23:44:23,942 INFO ExperimentA, k=23, Accuracy=0.7860696517412935, Precision=0.78, Recall=0.5492957746478874, F1_score=0.6446280991735538
2024-04-24 23:44:27,294 INFO ExperimentA, k=25, Accuracy=0.7761194029850746, Precision=0.7708333333333334, Recall=0.5211267605633803, F1_score=0.6218487394957983
2024-04-24 23:44:30,789 INFO ExperimentA, k=27, Accuracy=0.7810945273631841, Precision=0.8, Recall=0.5070422535211268, F1_score=0.6206896551724138
2024-04-24 23:44:34,315 INFO ExperimentA, k=29, Accuracy=0.7860696517412935, Precision=0.8181818181818182, Recall=0.5070422535211268, F1_score=0.6260869565217392
2024-04-24 23:44:37,713 INFO ExperimentA, k=31, Accuracy=0.7711442786069652, Precision=0.8048780487804879, Recall=0.4647887323943662, F1_score=0.5892857142857143
2024-04-24 23:44:41,095 INFO ExperimentA, k=33, Accuracy=0.7761194029850746, Precision=0.8095238095238095, Recall=0.4788732394366197, F1_score=0.6017699115044247
2024-04-24 23:44:44,472 INFO ExperimentA, k=35, Accuracy=0.7810945273631841, Precision=0.8292682926829268, Recall=0.4788732394366197, F1_score=0.6071428571428571
2024-04-24 23:44:47,986 INFO ExperimentA, k=37, Accuracy=0.7661691542288557, Precision=0.8157894736842105, Recall=0.43661971830985913, F1_score=0.5688073394495413
2024-04-24 23:44:51,496 INFO ExperimentA, k=39, Accuracy=0.7661691542288557, Precision=0.8157894736842105, Recall=0.43661971830985913, F1_score=0.5688073394495413
2024-04-24 23:44:55,045 INFO ExperimentA, k=41, Accuracy=0.7711442786069652, Precision=0.8048780487804879, Recall=0.4647887323943662, F1_score=0.5892857142857143
2024-04-24 23:44:58,435 INFO ExperimentA, k=43, Accuracy=0.7562189054726368, Precision=0.7894736842105263, Recall=0.4225352112676056, F1_score=0.5504587155963302
2024-04-24 23:45:01,951 INFO ExperimentA, k=45, Accuracy=0.7512437810945274, Precision=0.7692307692307693, Recall=0.4225352112676056, F1_score=0.5454545454545455
2024-04-24 23:45:05,369 INFO ExperimentA, k=47, Accuracy=0.7512437810945274, Precision=0.7692307692307693, Recall=0.4225352112676056, F1_score=0.5454545454545455
2024-04-24 23:45:08,816 INFO ExperimentA, k=49, Accuracy=0.7562189054726368, Precision=0.7894736842105263, Recall=0.4225352112676056, F1_score=0.5504587155963302
2024-04-24 23:45:12,421 INFO ExperimentA, k=51, Accuracy=0.7562189054726368, Precision=0.8055555555555556, Recall=0.4084507042253521, F1_score=0.5420560747663551
2024-04-24 23:45:16,130 INFO ExperimentA, k=53, Accuracy=0.7562189054726368, Precision=0.8055555555555556, Recall=0.4084507042253521, F1_score=0.5420560747663551
2024-04-24 23:45:19,599 INFO ExperimentA, k=55, Accuracy=0.7512437810945274, Precision=0.8, Recall=0.39436619718309857, F1_score=0.5283018867924529
2024-04-24 23:45:23,041 INFO ExperimentA, k=57, Accuracy=0.7512437810945274, Precision=0.8, Recall=0.39436619718309857, F1_score=0.5283018867924529
2024-04-24 23:45:26,488 INFO ExperimentA, k=59, Accuracy=0.7562189054726368, Precision=0.8055555555555556, Recall=0.4084507042253521, F1_score=0.5420560747663551
2024-04-24 23:45:26,856 INFO Average Accuracy: 0.7637673700463199, Average Precision: 0.7707832928381942, Average Recall: 0.47887323943661975, Average F1: 0.5870354100929112
2024-04-24 23:45:26,856 INFO Max accuracy: 0.7910447761194029, Max precision: 0.7843137254901961, Max recall: 0.5633802816901409, Max f1: 0.6557377049180328, when k=19
