2024-04-24 23:48:16,600 INFO ExperimentA, k=3, Accuracy=0.7611940298507462, Precision=0.6885245901639344, Recall=0.5915492957746479, F1_score=0.6363636363636364
2024-04-24 23:48:20,001 INFO ExperimentA, k=5, Accuracy=0.7313432835820896, Precision=0.6440677966101694, Recall=0.5352112676056338, F1_score=0.5846153846153846
2024-04-24 23:48:23,449 INFO ExperimentA, k=7, Accuracy=0.7412935323383084, Precision=0.6792452830188679, Recall=0.5070422535211268, F1_score=0.5806451612903225
2024-04-24 23:48:27,141 INFO ExperimentA, k=9, Accuracy=0.746268656716418, Precision=0.7, Recall=0.49295774647887325, F1_score=0.5785123966942148
2024-04-24 23:48:30,644 INFO ExperimentA, k=11, Accuracy=0.7562189054726368, Precision=0.7291666666666666, Recall=0.49295774647887325, F1_score=0.5882352941176471
2024-04-24 23:48:33,937 INFO ExperimentA, k=13, Accuracy=0.7611940298507462, Precision=0.7254901960784313, Recall=0.5211267605633803, F1_score=0.6065573770491803
2024-04-24 23:48:37,362 INFO ExperimentA, k=15, Accuracy=0.7562189054726368, Precision=0.7115384615384616, Recall=0.5211267605633803, F1_score=0.6016260162601627
2024-04-24 23:48:41,108 INFO ExperimentA, k=17, Accuracy=0.7711442786069652, Precision=0.7358490566037735, Recall=0.5492957746478874, F1_score=0.6290322580645161
2024-04-24 23:48:45,324 INFO ExperimentA, k=19, Accuracy=0.7860696517412935, Precision=0.78, Recall=0.5492957746478874, F1_score=0.6446280991735538
2024-04-24 23:48:50,138 INFO ExperimentA, k=21, Accuracy=0.7711442786069652, Precision=0.7551020408163265, Recall=0.5211267605633803, F1_score=0.6166666666666667
2024-04-24 23:48:53,875 INFO ExperimentA, k=23, Accuracy=0.7761194029850746, Precision=0.782608695652174, Recall=0.5070422535211268, F1_score=0.6153846153846154
2024-04-24 23:48:58,446 INFO ExperimentA, k=25, Accuracy=0.7810945273631841, Precision=0.8, Recall=0.5070422535211268, F1_score=0.6206896551724138
2024-04-24 23:49:02,229 INFO ExperimentA, k=27, Accuracy=0.7860696517412935, Precision=0.8181818181818182, Recall=0.5070422535211268, F1_score=0.6260869565217392
2024-04-24 23:49:05,986 INFO ExperimentA, k=29, Accuracy=0.7860696517412935, Precision=0.85, Recall=0.4788732394366197, F1_score=0.6126126126126126
2024-04-24 23:49:09,929 INFO ExperimentA, k=31, Accuracy=0.7810945273631841, Precision=0.8461538461538461, Recall=0.4647887323943662, F1_score=0.6
2024-04-24 23:49:14,198 INFO ExperimentA, k=33, Accuracy=0.7860696517412935, Precision=0.85, Recall=0.4788732394366197, F1_score=0.6126126126126126
2024-04-24 23:49:18,631 INFO ExperimentA, k=35, Accuracy=0.7860696517412935, Precision=0.85, Recall=0.4788732394366197, F1_score=0.6126126126126126
2024-04-24 23:49:23,161 INFO ExperimentA, k=37, Accuracy=0.7611940298507462, Precision=0.8285714285714286, Recall=0.4084507042253521, F1_score=0.5471698113207547
2024-04-24 23:49:28,983 INFO ExperimentA, k=39, Accuracy=0.7711442786069652, Precision=0.8378378378378378, Recall=0.43661971830985913, F1_score=0.574074074074074
2024-04-24 23:49:32,993 INFO ExperimentA, k=41, Accuracy=0.7611940298507462, Precision=0.8108108108108109, Recall=0.4225352112676056, F1_score=0.5555555555555556
2024-04-24 23:49:36,808 INFO ExperimentA, k=43, Accuracy=0.746268656716418, Precision=0.7941176470588235, Recall=0.38028169014084506, F1_score=0.5142857142857142
2024-04-24 23:49:40,689 INFO ExperimentA, k=45, Accuracy=0.736318407960199, Precision=0.7647058823529411, Recall=0.36619718309859156, F1_score=0.49523809523809526
2024-04-24 23:49:44,338 INFO ExperimentA, k=47, Accuracy=0.736318407960199, Precision=0.7647058823529411, Recall=0.36619718309859156, F1_score=0.49523809523809526
2024-04-24 23:49:48,489 INFO ExperimentA, k=49, Accuracy=0.736318407960199, Precision=0.7647058823529411, Recall=0.36619718309859156, F1_score=0.49523809523809526
2024-04-24 23:49:52,398 INFO ExperimentA, k=51, Accuracy=0.7412935323383084, Precision=0.7878787878787878, Recall=0.36619718309859156, F1_score=0.5
2024-04-24 23:49:56,537 INFO ExperimentA, k=53, Accuracy=0.7412935323383084, Precision=0.7878787878787878, Recall=0.36619718309859156, F1_score=0.5
2024-04-24 23:50:00,459 INFO ExperimentA, k=55, Accuracy=0.7512437810945274, Precision=0.8181818181818182, Recall=0.38028169014084506, F1_score=0.5192307692307692
2024-04-24 23:50:04,518 INFO ExperimentA, k=57, Accuracy=0.746268656716418, Precision=0.7941176470588235, Recall=0.38028169014084506, F1_score=0.5142857142857142
2024-04-24 23:50:08,577 INFO ExperimentA, k=59, Accuracy=0.7512437810945274, Precision=0.8181818181818182, Recall=0.38028169014084506, F1_score=0.5192307692307692
2024-04-24 23:50:09,022 INFO Average Accuracy: 0.7601646937725164, Average Precision: 0.7764697476552493, Average Recall: 0.4594463331714427, Average F1: 0.5722906223761905
2024-04-24 23:50:09,022 INFO Max accuracy: 0.7860696517412935, Max precision: 0.78, Max recall: 0.5492957746478874, Max f1: 0.6446280991735538, when k=19
