2024-04-24 23:31:22,515 INFO ExperimentB, k=3, Accuracy=0.74, Precision=0.72, Recall=0.4864864864864865, F1_score=0.5806451612903226
2024-04-24 23:31:26,231 INFO ExperimentB, k=5, Accuracy=0.77, Precision=0.7692307692307693, Recall=0.5405405405405406, F1_score=0.6349206349206349
2024-04-24 23:31:29,830 INFO ExperimentB, k=7, Accuracy=0.73, Precision=0.7083333333333334, Recall=0.4594594594594595, F1_score=0.5573770491803279
2024-04-24 23:31:33,252 INFO ExperimentB, k=9, Accuracy=0.75, Precision=0.7307692307692307, Recall=0.5135135135135135, F1_score=0.6031746031746031
2024-04-24 23:31:36,825 INFO ExperimentB, k=11, Accuracy=0.79, Precision=0.8333333333333334, Recall=0.5405405405405406, F1_score=0.6557377049180328
2024-04-24 23:31:40,283 INFO ExperimentB, k=13, Accuracy=0.75, Precision=0.75, Recall=0.4864864864864865, F1_score=0.5901639344262296
2024-04-24 23:31:43,681 INFO ExperimentB, k=15, Accuracy=0.76, Precision=0.76, Recall=0.5135135135135135, F1_score=0.6129032258064517
2024-04-24 23:31:47,116 INFO ExperimentB, k=17, Accuracy=0.74, Precision=0.7391304347826086, Recall=0.4594594594594595, F1_score=0.5666666666666667
2024-04-24 23:31:50,650 INFO ExperimentB, k=19, Accuracy=0.76, Precision=0.782608695652174, Recall=0.4864864864864865, F1_score=0.6000000000000001
2024-04-24 23:31:54,663 INFO ExperimentB, k=21, Accuracy=0.78, Precision=0.8260869565217391, Recall=0.5135135135135135, F1_score=0.6333333333333333
2024-04-24 23:31:58,335 INFO ExperimentB, k=23, Accuracy=0.78, Precision=0.8571428571428571, Recall=0.4864864864864865, F1_score=0.6206896551724138
2024-04-24 23:32:02,297 INFO ExperimentB, k=25, Accuracy=0.78, Precision=0.8571428571428571, Recall=0.4864864864864865, F1_score=0.6206896551724138
2024-04-24 23:32:06,013 INFO ExperimentB, k=27, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:32:09,744 INFO ExperimentB, k=29, Accuracy=0.77, Precision=0.8181818181818182, Recall=0.4864864864864865, F1_score=0.6101694915254238
2024-04-24 23:32:13,385 INFO ExperimentB, k=31, Accuracy=0.78, Precision=0.8571428571428571, Recall=0.4864864864864865, F1_score=0.6206896551724138
2024-04-24 23:32:17,145 INFO ExperimentB, k=33, Accuracy=0.78, Precision=0.8571428571428571, Recall=0.4864864864864865, F1_score=0.6206896551724138
2024-04-24 23:32:20,794 INFO ExperimentB, k=35, Accuracy=0.77, Precision=0.8888888888888888, Recall=0.43243243243243246, F1_score=0.5818181818181818
2024-04-24 23:32:24,405 INFO ExperimentB, k=37, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:32:28,070 INFO ExperimentB, k=39, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:32:31,753 INFO ExperimentB, k=41, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:32:35,524 INFO ExperimentB, k=43, Accuracy=0.75, Precision=0.8333333333333334, Recall=0.40540540540540543, F1_score=0.5454545454545455
2024-04-24 23:32:39,075 INFO ExperimentB, k=45, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:32:42,520 INFO ExperimentB, k=47, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:32:46,322 INFO ExperimentB, k=49, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:32:49,921 INFO ExperimentB, k=51, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:32:53,674 INFO ExperimentB, k=53, Accuracy=0.73, Precision=0.8125, Recall=0.35135135135135137, F1_score=0.49056603773584906
2024-04-24 23:32:57,521 INFO ExperimentB, k=55, Accuracy=0.73, Precision=0.8125, Recall=0.35135135135135137, F1_score=0.49056603773584906
2024-04-24 23:33:01,873 INFO ExperimentB, k=57, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:33:05,630 INFO ExperimentB, k=59, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:33:06,060 INFO Average Accuracy: 0.7555172413793101, Average Precision: 0.8139267029332292, Average Recall: 0.44454799627213437, Average F1: 0.571482283939397
2024-04-24 23:33:06,060 INFO Max accuracy: 0.79, Max precision: 0.8333333333333334, Max recall: 0.5405405405405406, Max f1: 0.6557377049180328, when k=11
