2024-04-25 02:44:52,133 INFO ExperimentB, k=3, Accuracy=0.74, Precision=0.72, Recall=0.4864864864864865, F1_score=0.5806451612903226
2024-04-25 02:44:55,650 INFO ExperimentB, k=5, Accuracy=0.78, Precision=0.8, Recall=0.5405405405405406, F1_score=0.6451612903225806
2024-04-25 02:44:59,120 INFO ExperimentB, k=7, Accuracy=0.75, Precision=0.75, Recall=0.4864864864864865, F1_score=0.5901639344262296
2024-04-25 02:45:02,625 INFO ExperimentB, k=9, Accuracy=0.75, Precision=0.75, Recall=0.4864864864864865, F1_score=0.5901639344262296
2024-04-25 02:45:06,148 INFO ExperimentB, k=11, Accuracy=0.78, Precision=0.8260869565217391, Recall=0.5135135135135135, F1_score=0.6333333333333333
2024-04-25 02:45:09,398 INFO ExperimentB, k=13, Accuracy=0.75, Precision=0.7727272727272727, Recall=0.4594594594594595, F1_score=0.576271186440678
2024-04-25 02:45:12,579 INFO ExperimentB, k=15, Accuracy=0.75, Precision=0.7727272727272727, Recall=0.4594594594594595, F1_score=0.576271186440678
2024-04-25 02:45:15,992 INFO ExperimentB, k=17, Accuracy=0.74, Precision=0.7391304347826086, Recall=0.4594594594594595, F1_score=0.5666666666666667
2024-04-25 02:45:19,350 INFO ExperimentB, k=19, Accuracy=0.74, Precision=0.7619047619047619, Recall=0.43243243243243246, F1_score=0.5517241379310345
2024-04-25 02:45:22,510 INFO ExperimentB, k=21, Accuracy=0.78, Precision=0.8260869565217391, Recall=0.5135135135135135, F1_score=0.6333333333333333
2024-04-25 02:45:25,683 INFO ExperimentB, k=23, Accuracy=0.78, Precision=0.8571428571428571, Recall=0.4864864864864865, F1_score=0.6206896551724138
2024-04-25 02:45:28,796 INFO ExperimentB, k=25, Accuracy=0.77, Precision=0.85, Recall=0.4594594594594595, F1_score=0.5964912280701754
2024-04-25 02:45:31,945 INFO ExperimentB, k=27, Accuracy=0.75, Precision=0.8, Recall=0.43243243243243246, F1_score=0.5614035087719298
2024-04-25 02:45:35,089 INFO ExperimentB, k=29, Accuracy=0.77, Precision=0.8181818181818182, Recall=0.4864864864864865, F1_score=0.6101694915254238
2024-04-25 02:45:38,224 INFO ExperimentB, k=31, Accuracy=0.78, Precision=0.8571428571428571, Recall=0.4864864864864865, F1_score=0.6206896551724138
2024-04-25 02:45:41,342 INFO ExperimentB, k=33, Accuracy=0.78, Precision=0.8571428571428571, Recall=0.4864864864864865, F1_score=0.6206896551724138
2024-04-25 02:45:44,489 INFO ExperimentB, k=35, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-25 02:45:47,645 INFO ExperimentB, k=37, Accuracy=0.74, Precision=0.8666666666666667, Recall=0.35135135135135137, F1_score=0.5000000000000001
2024-04-25 02:45:50,773 INFO ExperimentB, k=39, Accuracy=0.72, Precision=0.8, Recall=0.32432432432432434, F1_score=0.46153846153846156
2024-04-25 02:45:53,917 INFO ExperimentB, k=41, Accuracy=0.72, Precision=0.8, Recall=0.32432432432432434, F1_score=0.46153846153846156
2024-04-25 02:45:57,010 INFO ExperimentB, k=43, Accuracy=0.75, Precision=0.8333333333333334, Recall=0.40540540540540543, F1_score=0.5454545454545455
2024-04-25 02:46:00,416 INFO ExperimentB, k=45, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-25 02:46:03,583 INFO ExperimentB, k=47, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-25 02:46:06,701 INFO ExperimentB, k=49, Accuracy=0.73, Precision=0.8125, Recall=0.35135135135135137, F1_score=0.49056603773584906
2024-04-25 02:46:10,221 INFO ExperimentB, k=51, Accuracy=0.73, Precision=0.8125, Recall=0.35135135135135137, F1_score=0.49056603773584906
2024-04-25 02:46:14,000 INFO ExperimentB, k=53, Accuracy=0.73, Precision=0.8125, Recall=0.35135135135135137, F1_score=0.49056603773584906
2024-04-25 02:46:17,991 INFO ExperimentB, k=55, Accuracy=0.73, Precision=0.8125, Recall=0.35135135135135137, F1_score=0.49056603773584906
2024-04-25 02:46:21,282 INFO ExperimentB, k=57, Accuracy=0.73, Precision=0.8571428571428571, Recall=0.32432432432432434, F1_score=0.4705882352941177
2024-04-25 02:46:24,544 INFO ExperimentB, k=59, Accuracy=0.73, Precision=0.8571428571428571, Recall=0.32432432432432434, F1_score=0.4705882352941177
2024-04-25 02:46:24,931 INFO Average Accuracy: 0.7493103448275862, Average Precision: 0.8118833994003762, Average Recall: 0.4231127679403542, Average F1: 0.5521095990478776
2024-04-25 02:46:24,932 INFO Max accuracy: 0.78, Max precision: 0.8, Max recall: 0.5405405405405406, Max f1: 0.6451612903225806, when k=5
