2024-04-24 23:45:30,329 INFO ExperimentB, k=3, Accuracy=0.74, Precision=0.7391304347826086, Recall=0.4594594594594595, F1_score=0.5666666666666667
2024-04-24 23:45:33,554 INFO ExperimentB, k=5, Accuracy=0.7, Precision=0.64, Recall=0.43243243243243246, F1_score=0.5161290322580645
2024-04-24 23:45:36,702 INFO ExperimentB, k=7, Accuracy=0.75, Precision=0.7727272727272727, Recall=0.4594594594594595, F1_score=0.576271186440678
2024-04-24 23:45:39,894 INFO ExperimentB, k=9, Accuracy=0.73, Precision=0.75, Recall=0.40540540540540543, F1_score=0.5263157894736842
2024-04-24 23:45:43,058 INFO ExperimentB, k=11, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:45:46,197 INFO ExperimentB, k=13, Accuracy=0.76, Precision=0.8421052631578947, Recall=0.43243243243243246, F1_score=0.5714285714285715
2024-04-24 23:45:49,457 INFO ExperimentB, k=15, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:45:52,707 INFO ExperimentB, k=17, Accuracy=0.77, Precision=0.8181818181818182, Recall=0.4864864864864865, F1_score=0.6101694915254238
2024-04-24 23:45:56,130 INFO ExperimentB, k=19, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:45:59,253 INFO ExperimentB, k=21, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:46:03,112 INFO ExperimentB, k=23, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:46:06,825 INFO ExperimentB, k=25, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:46:10,734 INFO ExperimentB, k=27, Accuracy=0.77, Precision=0.85, Recall=0.4594594594594595, F1_score=0.5964912280701754
2024-04-24 23:46:14,738 INFO ExperimentB, k=29, Accuracy=0.75, Precision=0.7727272727272727, Recall=0.4594594594594595, F1_score=0.576271186440678
2024-04-24 23:46:18,444 INFO ExperimentB, k=31, Accuracy=0.77, Precision=0.85, Recall=0.4594594594594595, F1_score=0.5964912280701754
2024-04-24 23:46:21,902 INFO ExperimentB, k=33, Accuracy=0.77, Precision=0.8888888888888888, Recall=0.43243243243243246, F1_score=0.5818181818181818
2024-04-24 23:46:25,449 INFO ExperimentB, k=35, Accuracy=0.77, Precision=0.8888888888888888, Recall=0.43243243243243246, F1_score=0.5818181818181818
2024-04-24 23:46:29,541 INFO ExperimentB, k=37, Accuracy=0.77, Precision=0.8888888888888888, Recall=0.43243243243243246, F1_score=0.5818181818181818
2024-04-24 23:46:33,378 INFO ExperimentB, k=39, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:46:37,558 INFO ExperimentB, k=41, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:46:41,176 INFO ExperimentB, k=43, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:46:44,588 INFO ExperimentB, k=45, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:46:48,442 INFO ExperimentB, k=47, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:46:52,005 INFO ExperimentB, k=49, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:46:56,015 INFO ExperimentB, k=51, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:46:59,641 INFO ExperimentB, k=53, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:47:02,669 INFO ExperimentB, k=55, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:47:05,846 INFO ExperimentB, k=57, Accuracy=0.76, Precision=0.9333333333333333, Recall=0.3783783783783784, F1_score=0.5384615384615385
2024-04-24 23:47:09,512 INFO ExperimentB, k=59, Accuracy=0.76, Precision=0.9333333333333333, Recall=0.3783783783783784, F1_score=0.5384615384615385
2024-04-24 23:47:09,935 INFO Average Accuracy: 0.7551724137931034, Average Precision: 0.8394401937586151, Average Recall: 0.42404473438956214, Average F1: 0.5610998848349438
2024-04-24 23:47:09,936 INFO Max accuracy: 0.77, Max precision: 0.8181818181818182, Max recall: 0.4864864864864865, Max f1: 0.6101694915254238, when k=17
