2024-04-24 23:50:12,841 INFO ExperimentB, k=3, Accuracy=0.74, Precision=0.7391304347826086, Recall=0.4594594594594595, F1_score=0.5666666666666667
2024-04-24 23:50:16,373 INFO ExperimentB, k=5, Accuracy=0.71, Precision=0.6538461538461539, Recall=0.4594594594594595, F1_score=0.5396825396825398
2024-04-24 23:50:19,666 INFO ExperimentB, k=7, Accuracy=0.75, Precision=0.7727272727272727, Recall=0.4594594594594595, F1_score=0.576271186440678
2024-04-24 23:50:23,083 INFO ExperimentB, k=9, Accuracy=0.72, Precision=0.7368421052631579, Recall=0.3783783783783784, F1_score=0.5
2024-04-24 23:50:27,139 INFO ExperimentB, k=11, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:50:31,318 INFO ExperimentB, k=13, Accuracy=0.77, Precision=0.85, Recall=0.4594594594594595, F1_score=0.5964912280701754
2024-04-24 23:50:35,087 INFO ExperimentB, k=15, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:50:38,918 INFO ExperimentB, k=17, Accuracy=0.77, Precision=0.8181818181818182, Recall=0.4864864864864865, F1_score=0.6101694915254238
2024-04-24 23:50:42,386 INFO ExperimentB, k=19, Accuracy=0.75, Precision=0.8, Recall=0.43243243243243246, F1_score=0.5614035087719298
2024-04-24 23:50:45,946 INFO ExperimentB, k=21, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:50:49,597 INFO ExperimentB, k=23, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:50:53,077 INFO ExperimentB, k=25, Accuracy=0.75, Precision=0.8, Recall=0.43243243243243246, F1_score=0.5614035087719298
2024-04-24 23:50:56,864 INFO ExperimentB, k=27, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:51:00,070 INFO ExperimentB, k=29, Accuracy=0.76, Precision=0.8095238095238095, Recall=0.4594594594594595, F1_score=0.5862068965517242
2024-04-24 23:51:03,645 INFO ExperimentB, k=31, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:51:07,821 INFO ExperimentB, k=33, Accuracy=0.74, Precision=0.8235294117647058, Recall=0.3783783783783784, F1_score=0.5185185185185186
2024-04-24 23:51:11,606 INFO ExperimentB, k=35, Accuracy=0.76, Precision=0.8421052631578947, Recall=0.43243243243243246, F1_score=0.5714285714285715
2024-04-24 23:51:15,746 INFO ExperimentB, k=37, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:51:19,460 INFO ExperimentB, k=39, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:51:22,771 INFO ExperimentB, k=41, Accuracy=0.76, Precision=0.8823529411764706, Recall=0.40540540540540543, F1_score=0.5555555555555556
2024-04-24 23:51:26,078 INFO ExperimentB, k=43, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:51:29,928 INFO ExperimentB, k=45, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:51:33,972 INFO ExperimentB, k=47, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:51:37,977 INFO ExperimentB, k=49, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:51:41,527 INFO ExperimentB, k=51, Accuracy=0.75, Precision=0.875, Recall=0.3783783783783784, F1_score=0.5283018867924528
2024-04-24 23:51:45,304 INFO ExperimentB, k=53, Accuracy=0.76, Precision=0.9333333333333333, Recall=0.3783783783783784, F1_score=0.5384615384615385
2024-04-24 23:51:48,919 INFO ExperimentB, k=55, Accuracy=0.76, Precision=0.9333333333333333, Recall=0.3783783783783784, F1_score=0.5384615384615385
2024-04-24 23:51:52,666 INFO ExperimentB, k=57, Accuracy=0.76, Precision=0.9333333333333333, Recall=0.3783783783783784, F1_score=0.5384615384615385
2024-04-24 23:51:56,443 INFO ExperimentB, k=59, Accuracy=0.76, Precision=0.9333333333333333, Recall=0.3783783783783784, F1_score=0.5384615384615385
2024-04-24 23:51:56,891 INFO Average Accuracy: 0.7520689655172415, Average Precision: 0.8374631892322352, Average Recall: 0.4156570363466917, Average F1: 0.5528320342809372
2024-04-24 23:51:56,891 INFO Max accuracy: 0.77, Max precision: 0.85, Max recall: 0.4594594594594595, Max f1: 0.5964912280701754, when k=13
